EmployeeID,EmployeeName,Department,Gender,Ethnicity,Region,MonthlySalary,HireDate,ExitDate,AttritionFlag,PerformanceRating,HighPerformerAttrition,ReasonForLeaving,TenureYears,TenureBucket
56,Christine Baker,Sales,Female,Other,North America,70223,2016-08-06,,0,Standard,0,,5.41,5+ Years
57,Dean Moon,Sales,Male,Asian,Asia,77432,2016-11-23,,0,Standard,0,,5.11,5+ Years
58,Mr. Joseph Marquez DDS,Sales,Male,Black,Asia,57749,2016-06-17,,0,Standard,0,,5.54,5+ Years
59,Kevin David,Sales,Female,Asian,North America,78859,2016-08-29,,0,Standard,0,,5.34,5+ Years
60,Matthew Salazar,Sales,Female,Black,North America,76777,2021-07-04,,0,Standard,0,,0.49,0-1 Years
61,Sean Ward,Sales,Female,Other,Asia,82471,2016-08-23,2021-07-18,1,Standard,0,Management Issues,4.9,3-5 Years
62,James Foster,Sales,Female,Black,Europe,65318,2016-05-18,,0,Standard,0,,5.62,5+ Years
63,Lisa Bauer,Sales,Male,Asian,North America,93497,2018-12-07,,0,Standard,0,,3.07,3-5 Years
64,Jeffrey Lindsey,Sales,Male,Asian,North America,98089,2019-06-01,2021-06-26,1,High,1,Better Opportunity,2.07,1-3 Years
65,Zachary George,Sales,Male,Other,Europe,79511,2021-04-25,2021-12-24,1,Standard,0,Salary,0.67,0-1 Years
66,Valerie Gray,Sales,Male,Other,Asia,54996,2016-04-24,,0,Standard,0,,5.69,5+ Years
67,Colleen Larson,Sales,Male,Black,North America,84345,2016-11-25,,0,High,0,,5.1,5+ Years
68,Matthew Stuart,Sales,Male,Other,Asia,52574,2016-11-29,,0,Standard,0,,5.09,5+ Years
69,Donald Donaldson,Sales,Male,Black,South America,85965,2020-01-14,,0,High,0,,1.96,1-3 Years
70,Logan Olson,Sales,Female,Other,Europe,95090,2017-05-13,,0,Standard,0,,4.64,3-5 Years
71,Benjamin Costa,Sales,Male,Other,Asia,99989,2017-08-11,,0,Standard,0,,4.39,3-5 Years
72,Allen Keller,Sales,Male,Asian,North America,118819,2020-10-15,,0,Standard,0,,1.21,1-3 Years
73,Heather Carter MD,Sales,Female,Black,Asia,116036,2016-01-19,,0,Standard,0,,5.95,5+ Years
74,Benjamin Dunlap,Sales,Female,Black,Europe,85364,2017-02-20,2021-09-08,1,Standard,0,Management Issues,4.55,3-5 Years
75,Kelly Martinez,Sales,Female,Black,Asia,87225,2017-10-14,,0,Standard,0,,4.22,3-5 Years
76,Richard Coffey,Sales,Male,Black,South America,74588,2018-12-20,,0,Standard,0,,3.03,3-5 Years
77,Shannon Guerrero,Sales,Male,Black,Asia,48540,2017-04-02,,0,Standard,0,,4.75,3-5 Years
78,Katelyn Lowe,Sales,Male,Asian,Europe,92371,2016-11-10,,0,Standard,0,,5.14,5+ Years
79,Sean Lopez,Sales,Female,Black,North America,81523,2019-12-28,,0,Standard,0,,2.01,1-3 Years
80,Douglas Tate,Sales,Female,Other,South America,70010,2017-05-23,2021-09-25,1,High,1,Salary,4.35,3-5 Years
81,Colleen Solis,Sales,Female,Asian,Europe,71570,2016-07-20,,0,High,0,,5.45,5+ Years
82,Krystal Patel,Sales,Male,Black,Europe,55202,2016-11-29,,0,Standard,0,,5.09,5+ Years
83,Jennifer Baldwin,Sales,Female,Asian,Europe,99961,2018-07-06,,0,Standard,0,,3.49,3-5 Years
84,Dylan Bailey,Sales,Male,Asian,North America,90786,2016-01-13,2021-12-01,1,High,1,Salary,5.89,5+ Years
85,Paul Sanchez,Sales,Female,Other,Europe,58238,2016-06-20,,0,Standard,0,,5.53,5+ Years
86,Katelyn Gonzales,Sales,Male,Asian,South America,69107,2018-08-24,,0,Standard,0,,3.36,3-5 Years
87,Angela Carr,Sales,Male,Asian,South America,100432,2020-03-01,,0,High,0,,1.84,1-3 Years
88,Christopher Elliott,Sales,Male,Asian,Europe,91463,2019-12-01,2021-11-21,1,Standard,0,Better Opportunity,1.98,1-3 Years
89,Victoria Lewis,Sales,Male,Asian,Asia,58122,2016-06-08,,0,Standard,0,,5.57,5+ Years
90,Randall White,Sales,Male,Other,Europe,117732,2017-10-17,2021-12-30,1,Standard,0,Better Opportunity,4.21,3-5 Years
91,Kyle Ayala,Sales,Female,Asian,Europe,67118,2018-03-06,,0,Standard,0,,3.82,3-5 Years
92,Sandra Villa,Sales,Female,Asian,North America,94576,2016-03-26,2021-10-17,1,High,1,Better Opportunity,5.56,5+ Years
93,Joshua Bishop,Sales,Male,Asian,Asia,115341,2020-02-24,,0,Standard,0,,1.85,1-3 Years
94,Margaret Flores,Sales,Female,Asian,Europe,83926,2020-04-07,2021-08-27,1,High,1,Better Opportunity,1.39,1-3 Years
95,Hannah Allison,Sales,Male,Asian,North America,84205,2020-08-19,,0,High,0,,1.37,1-3 Years
96,Jodi Roy,Sales,Female,Black,Europe,91808,2019-04-15,,0,Standard,0,,2.72,1-3 Years
97,Evelyn Hernandez,Sales,Female,Asian,Asia,116465,2018-03-02,,0,Standard,0,,3.84,3-5 Years
98,Deborah Cooper DVM,Sales,Female,Asian,Asia,88850,2017-05-19,,0,Standard,0,,4.62,3-5 Years
99,Kristen Werner,Sales,Male,Other,North America,75855,2018-01-31,,0,Standard,0,,3.92,3-5 Years
100,Miranda Smith,Sales,Male,Black,Asia,71442,2019-11-04,2021-06-23,1,High,1,Salary,1.64,1-3 Years
101,Thomas Mckenzie,Sales,Male,Black,North America,57913,2018-04-06,2021-11-21,1,Standard,0,Salary,3.63,3-5 Years
102,Kimberly Morris,Sales,Female,Black,Europe,79335,2019-04-14,,0,Standard,0,,2.72,1-3 Years
103,Tina Barton,Sales,Male,Black,Asia,116488,2018-08-11,,0,Standard,0,,3.39,3-5 Years
104,Gregory Garcia,Sales,Male,Black,North America,101714,2016-01-06,,0,Standard,0,,5.99,5+ Years
105,Andrew Maddox,Sales,Male,Asian,South America,58431,2019-10-29,,0,High,0,,2.18,1-3 Years
106,Amanda Reynolds,Sales,Male,Other,South America,95005,2020-04-13,,0,Standard,0,,1.72,1-3 Years
107,Anthony Matthews,Sales,Male,Asian,North America,63646,2016-05-22,,0,Standard,0,,5.61,5+ Years
108,Ralph Harris,Sales,Female,Black,South America,111936,2016-02-09,,0,Standard,0,,5.9,5+ Years
109,James Drake,Sales,Female,Black,North America,69669,2020-07-21,,0,Standard,0,,1.45,1-3 Years
110,Brian Willis,Sales,Female,Asian,Asia,102082,2020-01-06,,0,High,0,,1.99,1-3 Years
111,Timothy Russell,Sales,Male,Asian,Europe,102488,2016-03-30,,0,High,0,,5.76,5+ Years
112,Christopher Kim,Sales,Female,Asian,Europe,61132,2018-05-18,2021-10-13,1,High,1,Salary,3.41,3-5 Years
113,Paula Watts,Sales,Male,Black,North America,70372,2020-01-15,,0,Standard,0,,1.96,1-3 Years
114,William Cruz,Sales,Male,Black,North America,92656,2019-08-15,,0,Standard,0,,2.38,1-3 Years
115,Andre Elliott,Sales,Male,Black,South America,113636,2018-04-21,,0,Standard,0,,3.7,3-5 Years
116,Amber Gonzales,Sales,Female,Other,Europe,68884,2016-10-23,,0,Standard,0,,5.19,5+ Years
117,Eric Foster,Sales,Female,Other,North America,89017,2017-07-26,,0,Standard,0,,4.44,3-5 Years
118,Ryan Byrd,Sales,Female,Other,Europe,61998,2020-10-31,,0,Standard,0,,1.17,1-3 Years
119,Katie Keller,Sales,Female,Other,Europe,60742,2017-09-06,2021-11-13,1,Standard,0,Better Opportunity,4.19,3-5 Years
120,Barbara Tanner,Sales,Male,Other,North America,58119,2018-11-30,2021-08-28,1,Standard,0,Management Issues,2.75,1-3 Years
121,Debra Everett,Sales,Male,Other,Europe,112110,2020-10-23,,0,Standard,0,,1.19,1-3 Years
122,Jessica Ross,Sales,Female,Black,North America,71519,2017-07-20,2021-06-04,1,Standard,0,Management Issues,3.88,3-5 Years
123,Timothy Wright,Sales,Male,Asian,Asia,67190,2020-03-10,,0,High,0,,1.81,1-3 Years
124,Mary Werner,Sales,Male,Asian,Europe,50906,2017-12-29,,0,Standard,0,,4.01,3-5 Years
125,Rebecca Flynn,Sales,Male,Other,North America,81188,2020-08-31,,0,Standard,0,,1.33,1-3 Years
126,Taylor Miller,Sales,Female,Asian,Europe,105257,2018-08-14,2021-09-11,1,High,1,Work-Life Balance,3.08,3-5 Years
127,Michael Romero,Sales,Male,Black,South America,86786,2018-09-06,2021-12-15,1,Standard,0,Better Opportunity,3.28,3-5 Years
128,Michelle Tucker,Sales,Male,Asian,Asia,79219,2020-01-03,,0,Standard,0,,1.99,1-3 Years
129,Frank Johnson,Sales,Female,Black,South America,87803,2016-11-02,,0,Standard,0,,5.16,5+ Years
130,Patricia Smith,Sales,Female,Black,Asia,94780,2020-04-13,2021-07-13,1,Standard,0,Work-Life Balance,1.25,1-3 Years
131,Christopher Glenn MD,Sales,Female,Black,South America,69558,2019-10-08,,0,High,0,,2.23,1-3 Years
132,Julie Wall,Sales,Male,Black,Europe,49014,2021-07-02,,0,Standard,0,,0.5,0-1 Years
133,Christine Morris,Sales,Female,Asian,Europe,61632,2019-05-25,,0,High,0,,2.61,1-3 Years
134,Angela Davis,Sales,Female,Other,South America,111354,2017-08-20,,0,Standard,0,,4.37,3-5 Years
135,James Perez,Sales,Male,Asian,Europe,57340,2019-06-01,,0,Standard,0,,2.59,1-3 Years
136,Robyn Brown,Sales,Female,Other,Europe,113427,2021-05-08,,0,High,0,,0.65,0-1 Years
137,Michele Gregory,Sales,Female,Black,Asia,50022,2017-04-07,2021-09-17,1,Standard,0,Better Opportunity,4.45,3-5 Years
138,Darrell Baker,Sales,Female,Black,South America,105478,2018-08-19,,0,Standard,0,,3.37,3-5 Years
139,Robert Reilly,Sales,Male,Black,North America,55319,2019-06-19,,0,Standard,0,,2.54,1-3 Years
140,Philip Phillips,Sales,Male,Asian,North America,108117,2017-05-16,,0,High,0,,4.63,3-5 Years
141,John Oneal,Sales,Male,Asian,Asia,115112,2016-07-23,,0,High,0,,5.44,5+ Years
142,John Sullivan,Sales,Male,Other,Europe,69966,2016-08-16,,0,High,0,,5.38,5+ Years
143,Alyssa Marquez,Sales,Male,Other,South America,70566,2016-04-07,,0,Standard,0,,5.74,5+ Years
144,Christopher Bowen,Sales,Male,Other,Asia,70370,2021-06-26,2021-07-12,1,Standard,0,Better Opportunity,0.04,0-1 Years
145,Lori Moss,Sales,Male,Other,Asia,78267,2018-03-17,,0,Standard,0,,3.79,3-5 Years
146,Amanda Matthews,Sales,Male,Asian,South America,45236,2020-08-06,,0,Standard,0,,1.4,1-3 Years
147,Taylor Orozco,Sales,Male,Other,Europe,92916,2016-06-06,,0,High,0,,5.57,5+ Years
148,Aaron Wong,Sales,Female,Black,Europe,118015,2016-01-26,,0,Standard,0,,5.93,5+ Years
149,Sandra Mckenzie,Sales,Male,Other,North America,113670,2016-11-03,,0,Standard,0,,5.16,5+ Years
150,Caroline Barber,Sales,Female,Asian,North America,117499,2021-07-13,,0,Standard,0,,0.47,0-1 Years
151,Carlos Sullivan,Sales,Male,Asian,Europe,88040,2021-05-12,,0,High,0,,0.64,0-1 Years
152,Molly Torres,Sales,Male,Other,North America,49172,2018-08-27,,0,Standard,0,,3.35,3-5 Years
153,Kurt Le,Sales,Male,Black,Asia,71415,2016-11-09,,0,High,0,,5.15,5+ Years
154,Angela Nicholson,Sales,Female,Asian,Asia,50974,2018-10-02,,0,Standard,0,,3.25,3-5 Years
155,Tanya Anderson,Sales,Female,Asian,South America,99324,2018-03-05,2021-07-19,1,Standard,0,Work-Life Balance,3.38,3-5 Years
156,Joan Lee,Sales,Male,Black,South America,45323,2021-07-04,,0,High,0,,0.49,0-1 Years
157,Elizabeth Mayer,Sales,Female,Asian,North America,80398,2018-04-07,,0,Standard,0,,3.74,3-5 Years
158,William Warren,Sales,Female,Other,North America,95535,2016-04-03,,0,Standard,0,,5.75,5+ Years
159,Jerry Compton,Sales,Male,Asian,Europe,104583,2021-01-14,,0,Standard,0,,0.96,0-1 Years
160,Henry Branch,Sales,Male,Black,South America,111667,2018-08-22,,0,Standard,0,,3.36,3-5 Years
161,Raymond Tucker,Sales,Female,Asian,South America,90205,2019-07-24,,0,Standard,0,,2.44,1-3 Years
162,Angel Mcconnell,Sales,Male,Other,North America,51555,2018-01-20,,0,Standard,0,,3.95,3-5 Years
163,Stephanie Jensen,Sales,Male,Asian,Europe,58251,2018-03-18,,0,Standard,0,,3.79,3-5 Years
164,Jacob Berry,Sales,Female,Asian,Europe,91922,2017-06-10,2021-09-29,1,Standard,0,Better Opportunity,4.31,3-5 Years
165,Mike Moran,Sales,Female,Other,Asia,93083,2019-01-03,,0,Standard,0,,2.99,1-3 Years
166,Susan Pennington,Sales,Male,Other,North America,93642,2016-04-26,,0,Standard,0,,5.68,5+ Years
167,Miguel Kelly,Sales,Female,Black,South America,58500,2017-02-15,2021-09-13,1,Standard,0,Better Opportunity,4.58,3-5 Years
168,James Robinson,Sales,Female,Black,Asia,48241,2018-06-08,,0,Standard,0,,3.57,3-5 Years
169,Richard Harris,Sales,Male,Black,Europe,118123,2020-01-22,,0,Standard,0,,1.94,1-3 Years
170,James Carr,Sales,Female,Other,South America,100554,2021-06-26,,0,Standard,0,,0.52,0-1 Years
171,Kimberly Mitchell,Sales,Male,Other,North America,64595,2018-01-14,,0,High,0,,3.96,3-5 Years
172,Jeffrey Mendoza,Sales,Male,Asian,North America,47929,2016-08-26,,0,High,0,,5.35,5+ Years
173,James Mckenzie,Sales,Female,Asian,South America,66476,2018-12-15,,0,Standard,0,,3.05,3-5 Years
174,Ryan Perez,Sales,Female,Other,Asia,108478,2018-01-18,,0,Standard,0,,3.95,3-5 Years
175,Lisa Mclean,Sales,Female,Black,Asia,90759,2018-08-02,,0,Standard,0,,3.42,3-5 Years
176,Lauren Kelly,Sales,Female,Asian,South America,71463,2020-03-23,,0,High,0,,1.78,1-3 Years
177,Paul Ortiz,Sales,Male,Asian,North America,103768,2018-10-18,2021-11-22,1,Standard,0,Salary,3.1,3-5 Years
178,Jillian Daniels,Sales,Male,Other,South America,61772,2017-11-24,,0,High,0,,4.1,3-5 Years
179,William Wood,Sales,Male,Asian,South America,73000,2016-08-18,,0,Standard,0,,5.37,5+ Years
180,Jeffrey Camacho,Sales,Male,Black,Asia,76760,2020-10-04,,0,High,0,,1.24,1-3 Years
181,Amanda Casey,Sales,Female,Other,South America,54658,2020-12-04,,0,Standard,0,,1.07,1-3 Years
182,Scott Oneal,Sales,Female,Asian,Asia,99713,2019-06-06,2021-09-24,1,Standard,0,Better Opportunity,2.3,1-3 Years
183,Diane Morris,Sales,Male,Asian,Europe,77942,2016-05-15,,0,High,0,,5.63,5+ Years
184,Kelsey Merritt,Sales,Female,Black,South America,116018,2021-05-06,,0,Standard,0,,0.65,0-1 Years
185,Sarah Sanders,Sales,Male,Other,Asia,71540,2019-11-06,,0,Standard,0,,2.15,1-3 Years
186,Taylor Perry,Sales,Female,Black,North America,69096,2017-12-25,2021-09-04,1,Standard,0,Work-Life Balance,3.7,3-5 Years
187,Shane Valencia,Sales,Female,Other,Europe,68591,2018-07-03,,0,High,0,,3.5,3-5 Years
188,Martha Dixon,Sales,Male,Other,Europe,80586,2019-04-14,,0,High,0,,2.72,1-3 Years
189,Anthony Stewart,Sales,Male,Other,Europe,47542,2019-11-02,,0,Standard,0,,2.16,1-3 Years
190,Zachary Fernandez,Sales,Male,Black,Asia,96952,2020-06-09,,0,Standard,0,,1.56,1-3 Years
191,Andrew Harrington,Sales,Male,Asian,North America,112486,2019-11-06,2021-11-14,1,Standard,0,Better Opportunity,2.02,1-3 Years
192,Jonathan Jackson,Sales,Male,Asian,South America,87733,2017-02-02,,0,Standard,0,,4.91,3-5 Years
193,Steven Jones,Sales,Female,Black,South America,61122,2017-05-27,,0,High,0,,4.6,3-5 Years
194,Micheal Butler,Sales,Female,Asian,South America,76627,2017-01-06,,0,High,0,,4.99,3-5 Years
195,Angela Sherman,Sales,Female,Other,North America,70498,2018-01-26,,0,Standard,0,,3.93,3-5 Years
196,Robert Wagner,Sales,Male,Asian,Europe,81147,2016-03-13,,0,Standard,0,,5.81,5+ Years
197,Jessica Neal,Sales,Male,Other,Europe,48500,2019-10-26,,0,Standard,0,,2.18,1-3 Years
198,Scott Adams,Sales,Male,Black,North America,101680,2019-08-02,,0,Standard,0,,2.42,1-3 Years
199,Jason Gonzalez,Sales,Male,Other,South America,71127,2016-10-06,,0,Standard,0,,5.24,5+ Years
200,Donald Harris,Sales,Female,Other,Europe,99868,2018-04-08,,0,Standard,0,,3.73,3-5 Years
201,Felicia Garcia,Sales,Male,Other,South America,116111,2016-07-07,,0,Standard,0,,5.49,5+ Years
202,Cynthia Gonzalez,Sales,Male,Other,Europe,104706,2017-02-09,2021-06-28,1,Standard,0,Better Opportunity,4.38,3-5 Years
203,Ian Espinoza,Sales,Male,Asian,Asia,70367,2019-08-01,,0,Standard,0,,2.42,1-3 Years
204,Andrew Wade,Sales,Male,Other,South America,118691,2018-07-13,2021-07-24,1,Standard,0,Management Issues,3.03,3-5 Years
205,Whitney Zavala,Sales,Female,Other,North America,88200,2017-04-11,,0,Standard,0,,4.73,3-5 Years
206,Christina Mitchell,Sales,Female,Asian,Asia,114830,2020-12-28,,0,Standard,0,,1.01,1-3 Years
207,Ryan Henderson,Sales,Male,Black,Europe,108853,2020-12-26,,0,High,0,,1.01,1-3 Years
208,Carl Conner,Sales,Male,Black,Europe,78071,2018-07-03,,0,High,0,,3.5,3-5 Years
209,Joseph Boyle,Sales,Male,Black,Asia,99610,2017-10-08,2021-08-22,1,Standard,0,Management Issues,3.87,3-5 Years
210,Claire Davis,Sales,Female,Black,North America,50265,2019-07-11,,0,Standard,0,,2.48,1-3 Years
211,Charles Herrera,Sales,Female,Black,Asia,55275,2017-10-26,,0,Standard,0,,4.18,3-5 Years
212,Robert Murphy,Sales,Male,Other,Europe,46097,2016-05-19,2021-07-05,1,High,1,Salary,5.13,5+ Years
213,Shawn Ray,Sales,Female,Asian,North America,77905,2019-04-05,2021-07-26,1,Standard,0,Better Opportunity,2.31,1-3 Years
214,Robert Holt,Sales,Female,Other,South America,52786,2018-10-02,,0,Standard,0,,3.25,3-5 Years
215,William Carter,Sales,Male,Other,Asia,62427,2017-09-20,,0,Standard,0,,4.28,3-5 Years
216,Christine Bryant,Sales,Female,Asian,North America,81646,2019-09-25,,0,Standard,0,,2.27,1-3 Years
217,Carla Brown,Sales,Female,Black,South America,75463,2019-11-10,,0,Standard,0,,2.14,1-3 Years
218,Robin Moore,Sales,Female,Other,Asia,93567,2016-02-03,,0,Standard,0,,5.91,5+ Years
219,Makayla Fernandez,Sales,Female,Other,Asia,48078,2019-09-22,2021-11-15,1,High,1,Salary,2.15,1-3 Years
220,Melissa Robinson,Sales,Male,Other,Asia,100925,2018-01-29,,0,High,0,,3.92,3-5 Years
221,William Obrien,Sales,Male,Other,South America,46880,2018-05-04,,0,Standard,0,,3.66,3-5 Years
222,Chad Smith,Sales,Male,Black,North America,95026,2018-07-28,,0,Standard,0,,3.43,3-5 Years
223,Alexandra Kennedy,Sales,Male,Black,South America,53527,2020-09-28,,0,Standard,0,,1.26,1-3 Years
224,Jessica Campbell,Sales,Male,Black,South America,59124,2019-11-19,,0,Standard,0,,2.12,1-3 Years
225,Amanda Flores,Sales,Female,Black,North America,111814,2018-05-08,,0,Standard,0,,3.65,3-5 Years
226,Heather Rojas,Sales,Female,Other,North America,64711,2019-08-14,,0,Standard,0,,2.38,1-3 Years
227,James Lewis,Sales,Male,Black,North America,118439,2020-09-14,,0,Standard,0,,1.3,1-3 Years
228,Lindsay Delgado,Sales,Male,Black,South America,97163,2017-03-28,,0,Standard,0,,4.76,3-5 Years
229,Douglas Hays,Sales,Male,Black,Europe,47545,2016-01-28,,0,Standard,0,,5.93,5+ Years
230,Megan Kidd,Sales,Male,Asian,North America,94861,2016-09-20,,0,Standard,0,,5.28,5+ Years
231,Lisa Taylor,Sales,Male,Black,Asia,51573,2021-04-21,,0,Standard,0,,0.7,0-1 Years
232,Candice Munoz,Sales,Female,Asian,Europe,107148,2018-07-24,,0,Standard,0,,3.44,3-5 Years
233,Kevin Johnston,Sales,Male,Other,South America,52502,2017-04-08,,0,Standard,0,,4.73,3-5 Years
234,Allison Simmons,Sales,Female,Asian,Asia,69566,2016-10-30,,0,Standard,0,,5.17,5+ Years
235,Morgan Walters,Sales,Female,Asian,Europe,51995,2020-05-17,2021-12-05,1,High,1,Management Issues,1.55,1-3 Years
236,Veronica Young,Sales,Male,Black,North America,115692,2016-11-03,,0,Standard,0,,5.16,5+ Years
237,Patrick Avila,Sales,Female,Black,South America,79300,2019-08-19,,0,Standard,0,,2.37,1-3 Years
238,Julia Jackson,Sales,Female,Other,Asia,115141,2019-05-27,,0,Standard,0,,2.6,1-3 Years
239,Craig Bray,Sales,Female,Black,Europe,67633,2016-04-25,,0,Standard,0,,5.69,5+ Years
240,Renee Gallegos,Sales,Female,Black,Asia,46049,2019-09-27,,0,Standard,0,,2.26,1-3 Years
241,Monica Archer,Sales,Male,Asian,South America,70823,2016-02-28,,0,Standard,0,,5.84,5+ Years
242,Jennifer Norris,Sales,Female,Other,Asia,108215,2021-01-20,,0,Standard,0,,0.95,0-1 Years
